phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6814096,https://kalicad.com/.../AbSa/ac8f800a620a7a77e3a235e0b017d58b/login.php?cmd=login_submit&id=615373ea7a455ec9eaf86326f56dd2ad615373ea7a455ec9eaf86326f56dd2ad&session=615373ea7a455ec9eaf86326f56dd2ad615373ea7a455ec9eaf86326f56dd2ad,http://www.phishtank.com/phish_detail.php?phish_id=6814096,2020-10-19T14:40:29+00:00,yes,2020-10-19T14:42:00+00:00,yes,"ABSA Bank"
6813998,http://susp.faceb00kcom-738504525.m7md1.sa/nextVRF.html?location=ba24fe5395fa476c9d90a468632cfa9b,http://www.phishtank.com/phish_detail.php?phish_id=6813998,2020-10-19T14:03:39+00:00,yes,2020-10-19T14:42:41+00:00,yes,Other
6813997,http://read-56599139.ottombil.com/gate.html?location=889de418945d185cbbe913d9a500f43a,http://www.phishtank.com/phish_detail.php?phish_id=6813997,2020-10-19T14:03:34+00:00,yes,2020-10-19T14:42:00+00:00,yes,Other
6813995,http://snnbclogin.poermskadxzasdl6td1retgaxvchg.xyz/pc/index.php?openid.pape.max_auth_age=0&amp;openid.return_to=https://www.smbc.co.jp/?ref_=nav_em_hd_re_signin&amp;openid.identity=http://specs.openid.net/auth/2.0/identifier_select&amp;openid.assoc_handle=jpflex&amp;openid.mode=checkid_setup&amp;key=a@b.c&amp;openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&amp;openid.ns=http://specs.openid.net/auth/2.0&amp;&amp;ref_=nav_em_hd_clc_signinhttps://www.smbc.co.jp,http://www.phishtank.com/phish_detail.php?phish_id=6813995,2020-10-19T14:03:25+00:00,yes,2020-10-19T14:37:18+00:00,yes,Other
6813994,http://wildcard.m7md1.sa/nextVRF.html?location=cb6b4f2ec67f681499254a3bd63c805e,http://www.phishtank.com/phish_detail.php?phish_id=6813994,2020-10-19T14:03:21+00:00,yes,2020-10-19T14:37:18+00:00,yes,Other
6813993,http://content-fbook-23221994.roggiehouse.it/nextVRF.html?location=3ffb0d0aad56f8c7ccab1d4e1f64f2ff,http://www.phishtank.com/phish_detail.php?phish_id=6813993,2020-10-19T14:03:16+00:00,yes,2020-10-19T14:37:18+00:00,yes,Other
6813992,https://wildcard.m7md1.sa/nextVRF.html?location=cb6b4f2ec67f681499254a3bd63c805e,http://www.phishtank.com/phish_detail.php?phish_id=6813992,2020-10-19T14:03:12+00:00,yes,2020-10-19T14:36:37+00:00,yes,Other
6813991,https://graphicommunication.com/prime/uy/piled.php?dgabo={{email}};qfr=fzk-bwfxv_l7l_tuzdpb_dnxrrb_36-gdxy-8-gqya~gsazn&amp;xthAucji=ajo-eacru_a2d_ibmirf_qymzjf_07-ndxh-9-aqra~rneuy-pjvs-cu61ud~tp1lgwmf~da-gxok-vbrdltd/pisfyub~fcrfbs.jqct&amp;vbya=baf:ge:fbhb:adcdr_ddbve_y1d_rohmkd_mnafef_78;P1S7OsmsXUhbEGbDDdijFU==,http://www.phishtank.com/phish_detail.php?phish_id=6813991,2020-10-19T14:03:08+00:00,yes,2020-10-19T14:35:16+00:00,yes,Other
6813990,https://graphicommunication.com/prime/uy/piled.php?deadz={{email}},http://www.phishtank.com/phish_detail.php?phish_id=6813990,2020-10-19T14:03:05+00:00,yes,2020-10-19T14:35:16+00:00,yes,Other
6813989,https://graphicommunication.com/prime/uy/piled.php?email={{email}}&amp;trkEmail=eml-email_m2m_invite_single_01-hero-3-prof~photo-null-bn76vb~jw0zkrpg~xg-null-neptune/profile~vanity.view&amp;lipi=urn:li:page:email_email_m2m_invite_single_01;Z7V3TizvSUubCWaAAolxPQ==,http://www.phishtank.com/phish_detail.php?phish_id=6813989,2020-10-19T14:02:58+00:00,yes,2020-10-19T14:35:16+00:00,yes,Other
